camera_id,image_url,latitude,longitude,frc,currentSpeed,freeFlowSpeed,currentTravelTime,freeFlowTravelTime,confidence,roadClosure,car,truck,bus,motorbike,tricycle,carplate
5799,https://images.data.gov.sg/api/traffic-images/2023/07/5e8beb4c-afc6-4a72-90a6-05923f9cab81.jpg,1.328171608,103.8685191,FRC3,15,15,37,37,1.0,False,38,13,0,1,0,0
6701,https://images.data.gov.sg/api/traffic-images/2023/07/510ba85b-0caa-473b-9d70-9e8b005d19c4.jpg,1.329334,103.858222,FRC4,73,73,9,9,1.0,False,19,1,2,1,1,0
6703,https://images.data.gov.sg/api/traffic-images/2023/07/af84047c-afb4-41f8-8b31-18be09ca8487.jpg,1.328899,103.84121,FRC2,71,71,66,66,1.0,False,15,1,0,0,0,0
6704,https://images.data.gov.sg/api/traffic-images/2023/07/9579adbf-bf0e-4e2c-a503-e7e07d59af58.jpg,1.32657403632366,103.826857295633,FRC5,35,35,320,224,1.0,False,14,4,3,1,0,0
6705,https://images.data.gov.sg/api/traffic-images/2023/07/c1648335-7c3b-4d53-8abc-a258d1679a58.jpg,1.332124,103.81768,FRC1,58,58,16,16,1.0,False,33,5,1,1,0,0
6706,https://images.data.gov.sg/api/traffic-images/2023/07/20940680-8f5e-4aa9-958d-4fb100a60e1a.jpg,1.349428893,103.7952799,FRC0,85,85,117,117,1.0,False,32,4,1,3,1,0
6708,https://images.data.gov.sg/api/traffic-images/2023/07/b0369a99-e6e6-401a-aaa4-402708be81d2.jpg,1.345996,103.69016,FRC0,84,84,297,297,1.0,False,10,3,2,0,0,0
6710,https://images.data.gov.sg/api/traffic-images/2023/07/ec79a605-8dfb-4006-b4aa-dc5a3c7b7ac7.jpg,1.344205,103.78577,FRC0,89,89,417,417,1.0,False,16,6,3,2,0,0
6711,https://images.data.gov.sg/api/traffic-images/2023/07/917f011b-1956-43ff-9c36-7fcd6e182f9f.jpg,1.33771,103.977827,FRC0,67,67,20,20,1.0,False,7,1,0,0,0,0
6712,https://images.data.gov.sg/api/traffic-images/2023/07/3d8da2ac-0a29-44f7-912b-8ead83ba29db.jpg,1.332691,103.770278,FRC0,90,90,424,424,1.0,False,15,3,1,1,1,0
6713,https://images.data.gov.sg/api/traffic-images/2023/07/2f6e608d-17b6-45fa-b2b2-b74b700cd96b.jpg,1.340298,103.945652,FRC2,60,60,62,62,1.0,False,7,4,0,0,0,0
