camera_id,image_url,latitude,longitude,frc,currentSpeed,freeFlowSpeed,currentTravelTime,freeFlowTravelTime,confidence,roadClosure,car,truck,bus,motorbike,tricycle,tomtom_congestion,my_congestion,congestion
6714,https://images.data.gov.sg/api/traffic-images/2023/07/5ecd543c-5da1-4f17-adb0-1432b6517f56.jpg,1.361742,103.703341,FRC0,69,69,59,47,1.0,False,29,0,0,0,0,2,3,3
6715,https://images.data.gov.sg/api/traffic-images/2023/07/382023c9-1580-45d3-b125-1e18a5000027.jpg,1.356299,103.716071,FRC4,57,57,25,25,1.0,False,16,0,0,0,0,1,3,2
6716,https://images.data.gov.sg/api/traffic-images/2023/07/9fbefcbc-b0e9-46fe-a9c1-770719e1d79c.jpg,1.322893,103.6635051,FRC0,88,88,45,45,1.0,False,22,0,0,0,0,1,3,2
7791,https://images.data.gov.sg/api/traffic-images/2023/07/aa3a0758-7e43-41f8-b431-6b101dc2c1dd.jpg,1.354245,103.963782,FRC0,88,88,196,196,1.0,False,9,0,0,0,0,1,1,1
7793,https://images.data.gov.sg/api/traffic-images/2023/07/300311d5-c410-4a9c-916e-7224418b51d3.jpg,1.37704704,103.92946983,FRC1,32,32,69,46,1.0,False,9,0,0,0,0,3,1,2
7794,https://images.data.gov.sg/api/traffic-images/2023/07/d9f125f2-38e7-4ed1-bf33-a6ac7b7dea0a.jpg,1.37988658,103.92009174,FRC0,69,69,33,33,1.0,False,14,0,0,0,0,1,2,2
7795,https://images.data.gov.sg/api/traffic-images/2023/07/15610e2e-6bfe-4365-acee-5108b93e845d.jpg,1.38432741,103.91585701,FRC0,48,48,49,39,1.0,False,7,0,0,0,0,2,1,2
7796,https://images.data.gov.sg/api/traffic-images/2023/07/2e1b62dc-eb90-49ec-bea2-cf62cfceccd8.jpg,1.39559294,103.90515712,FRC0,90,90,259,259,1.0,False,16,2,0,0,0,1,3,2
7797,https://images.data.gov.sg/api/traffic-images/2023/07/ece695c3-972a-408a-99f4-35d17f1d5555.jpg,1.40002575,103.85702534,FRC4,71,71,36,36,1.0,False,22,0,0,0,0,1,3,2
7798,https://images.data.gov.sg/api/traffic-images/2023/07/d13e33b5-5fdd-4bc8-9c74-daa904265a02.jpg,1.39748842,103.85400467,FRC4,69,69,43,43,1.0,False,14,0,0,0,0,1,2,2
8701,https://images.data.gov.sg/api/traffic-images/2023/07/d5809c94-e92f-4f11-b4bc-67d8fac6ed8c.jpg,1.38647,103.74143,FRC0,92,92,273,273,1.0,False,5,0,0,0,0,1,1,1
8702,https://images.data.gov.sg/api/traffic-images/2023/07/e49ce774-ec56-495c-94bc-2131ce057a6d.jpg,1.39059,103.7717,FRC0,73,73,56,56,1.0,False,13,0,0,0,0,1,2,2
8704,https://images.data.gov.sg/api/traffic-images/2023/07/0677f0e3-f917-4933-b6c6-9726ee746901.jpg,1.3899,103.74843,FRC0,90,90,249,249,1.0,False,14,0,0,0,0,1,2,2
8706,https://images.data.gov.sg/api/traffic-images/2023/07/17afdb3f-fff4-4902-a1e0-82552badeb14.jpg,1.3664,103.70899,FRC0,82,82,67,67,1.0,False,2,0,0,0,0,1,1,1
9701,https://images.data.gov.sg/api/traffic-images/2023/07/dca92f04-7d19-440f-b50e-6b430a502a09.jpg,1.39466333,103.83474601,FRC0,91,91,421,421,1.0,False,17,0,0,0,0,1,3,2
9702,https://images.data.gov.sg/api/traffic-images/2023/07/a695865f-eea4-48c8-b6da-7f6428531478.jpg,1.39474081,103.81797086,FRC0,91,91,421,421,1.0,False,12,0,0,0,0,1,2,2
9703,https://images.data.gov.sg/api/traffic-images/2023/07/f08feb86-21e0-4eb7-8465-c3aada4c0825.jpg,1.422857,103.773005,FRC0,72,72,44,44,1.0,False,2,0,0,0,0,1,1,1
9704,https://images.data.gov.sg/api/traffic-images/2023/07/e1fd93d6-cf95-491d-86a0-6d5a1c3639e5.jpg,1.42214311,103.79542062,FRC0,90,90,399,399,1.0,False,11,0,0,0,0,1,2,2
9705,https://images.data.gov.sg/api/traffic-images/2023/07/9d47e176-edf1-4b89-96e7-48c2d55a8833.jpg,1.42627712,103.78716637,FRC0,91,91,421,421,1.0,False,11,0,0,0,0,1,2,2
9706,https://images.data.gov.sg/api/traffic-images/2023/07/5507efd7-730e-4be9-abfb-291d57b3e010.jpg,1.41270056,103.80642712,FRC0,90,90,399,399,1.0,False,17,0,0,0,0,1,3,2
